date,temp1,temp2,pres,humi
211518,24.0774931861,24.3,1005.94543486,33.2
211520,24.0702294531,24.3,1005.97360839,33.5
211522,24.06841352,24.3,1005.96392676,33.5
211525,24.0714400752,24.3,1005.97894236,33.6
211527,24.0678082089,24.3,1006.01672312,33.6
211529,24.0726506973,24.3,1005.96410772,33.6
211532,24.0732560084,24.3,1006.0023986,33.6
211534,24.069018831,24.3,1005.97499727,33.5
211536,24.0774931861,24.3,1005.95888071,33.5
211538,24.0756772528,24.3,1005.95592196,33.1
211541,24.0678082089,24.3,1005.94613345,33.1
211543,24.0635710318,24.3,1005.95906932,33.1
211545,24.0672028979,24.3,1005.97876128,33.5
211548,24.069624142,24.3,1005.95581502,33.5
211550,24.0720453863,24.3,1005.98329007,33.1
211552,24.0756772528,24.3,1005.95928341,33.7
211555,24.0708347642,24.3,1005.97459466,33.4
211557,24.069018831,24.3,1005.95482877,33.4
211559,24.0738613195,24.3,1005.96640899,33.1
211602,24.0738613195,24.3,1005.96304755,33.4
211604,24.06841352,24.3,1005.97737242,33.4
211606,24.0702294531,24.3,1005.98369267,33.4
211609,24.0787038083,24.3,1005.96757614,33.0
211611,24.0799144305,24.3,1005.98668479,33.4
211613,24.0762825639,24.3,1005.98716132,33.4
211616,24.0714400752,24.3,1005.94532807,33.4
211618,24.0805197417,24.3,1006.00783996,33.4
211620,24.0799144305,24.3,1005.94634708,33.4
211623,24.0799144305,24.3,1005.96315445,33.4
211625,24.0799144305,24.3,1005.97323888,33.4
211627,24.0811250528,24.3,1005.96512695,33.4
211630,24.076887875,24.3,1005.95789446,33.0
211632,24.0787038083,24.3,1005.95749174,33.4
211634,24.0756772528,24.3,1005.95592196,33.4
211637,24.0774931861,24.3,1005.96224217,33.4
211639,24.0805197417,24.3,1005.94733331,33.4
211641,24.0787038083,24.3,1005.97766055,33.0
211644,24.0805197417,24.3,1005.97422514,33.4
211646,24.0811250528,24.3,1005.94831955,33.4
211648,24.0817303639,24.3,1005.95602875,33.4
211651,24.0793091194,24.3,1005.96889115,33.0
211653,24.0799144305,24.3,1005.96315445,33.4
211655,24.0883887867,24.3,1005.94031403,33.4
211658,24.085967542,24.3,1005.93973066,33.4
